caller	sample	coverage	replicate	biological_class	cellular_fraction	expected_vaf	truth_events	detected_events	detection_recall	status_correct_events	status_accuracy_given_detected	tsd_exact_events	false_positive_calls	class_call_share
relocate2	cov5x_rep1	5	1	heterozygous	1.0	0.5	100	69	0.69	51	0.7391304347826086	67	0	0.3415841584158416
relocate2	cov5x_rep1	5	1	homozygous	1.0	1.0	100	93	0.93	93	1.0	92	0	0.4603960396039604
relocate2	cov5x_rep1	5	1	somatic_insertion	0.1	0.05	100	3	0.03	0	0.0	3	0	0.01485148514851485
relocate2	cov5x_rep1	5	1	somatic_insertion	0.2	0.1	100	9	0.09	0	0.0	8	0	0.04455445544554455
relocate2	cov5x_rep1	5	1	somatic_insertion	0.4	0.2	100	28	0.28	0	0.0	27	0	0.13861386138613863
relocate2	cov5x_rep2	5	2	heterozygous	1.0	0.5	100	68	0.68	52	0.7647058823529411	67	0	0.3434343434343434
relocate2	cov5x_rep2	5	2	homozygous	1.0	1.0	100	94	0.94	94	1.0	92	0	0.47474747474747475
relocate2	cov5x_rep2	5	2	somatic_insertion	0.1	0.05	100	2	0.02	0	0.0	2	0	0.010101010101010102
relocate2	cov5x_rep2	5	2	somatic_insertion	0.2	0.1	100	8	0.08	0	0.0	7	0	0.04040404040404041
relocate2	cov5x_rep2	5	2	somatic_insertion	0.4	0.2	100	26	0.26	0	0.0	24	0	0.13131313131313133
relocate2	cov5x_rep3	5	3	heterozygous	1.0	0.5	100	69	0.69	46	0.6666666666666666	69	0	0.32857142857142857
relocate2	cov5x_rep3	5	3	homozygous	1.0	1.0	100	92	0.92	92	1.0	92	0	0.4380952380952381
relocate2	cov5x_rep3	5	3	somatic_insertion	0.1	0.05	100	5	0.05	0	0.0	5	0	0.023809523809523808
relocate2	cov5x_rep3	5	3	somatic_insertion	0.2	0.1	100	14	0.14	0	0.0	12	0	0.06666666666666667
relocate2	cov5x_rep3	5	3	somatic_insertion	0.4	0.2	100	30	0.3	0	0.0	30	0	0.14285714285714285
relocate2	cov15x_rep1	15	1	heterozygous	1.0	0.5	100	94	0.94	47	0.5	94	1	0.2865853658536585
relocate2	cov15x_rep1	15	1	homozygous	1.0	1.0	100	97	0.97	96	0.9896907216494846	97	1	0.29573170731707316
relocate2	cov15x_rep1	15	1	somatic_insertion	0.1	0.05	100	21	0.21	2	0.09523809523809523	18	1	0.06402439024390244
relocate2	cov15x_rep1	15	1	somatic_insertion	0.2	0.1	100	40	0.4	5	0.125	37	1	0.12195121951219512
relocate2	cov15x_rep1	15	1	somatic_insertion	0.4	0.2	100	75	0.75	2	0.02666666666666667	73	1	0.22865853658536586
relocate2	cov15x_rep2	15	2	heterozygous	1.0	0.5	100	93	0.93	54	0.5806451612903226	93	0	0.28012048192771083
relocate2	cov15x_rep2	15	2	homozygous	1.0	1.0	100	96	0.96	95	0.9895833333333334	96	0	0.2891566265060241
relocate2	cov15x_rep2	15	2	somatic_insertion	0.1	0.05	100	14	0.14	1	0.07142857142857142	12	0	0.04216867469879518
relocate2	cov15x_rep2	15	2	somatic_insertion	0.2	0.1	100	53	0.53	4	0.07547169811320754	49	0	0.15963855421686746
relocate2	cov15x_rep2	15	2	somatic_insertion	0.4	0.2	100	76	0.76	2	0.02631578947368421	75	0	0.2289156626506024
relocate2	cov15x_rep3	15	3	heterozygous	1.0	0.5	100	92	0.92	47	0.5108695652173914	92	0	0.2796352583586626
relocate2	cov15x_rep3	15	3	homozygous	1.0	1.0	100	96	0.96	95	0.9895833333333334	96	0	0.2917933130699088
relocate2	cov15x_rep3	15	3	somatic_insertion	0.1	0.05	100	20	0.2	4	0.2	17	0	0.060790273556231005
relocate2	cov15x_rep3	15	3	somatic_insertion	0.2	0.1	100	48	0.48	2	0.041666666666666664	47	0	0.1458966565349544
relocate2	cov15x_rep3	15	3	somatic_insertion	0.4	0.2	100	73	0.73	1	0.0136986301369863	71	0	0.22188449848024316
relocate2	cov30x_rep1	30	1	heterozygous	1.0	0.5	100	95	0.95	88	0.9263157894736842	95	0	0.23058252427184467
relocate2	cov30x_rep1	30	1	homozygous	1.0	1.0	100	97	0.97	95	0.979381443298969	97	0	0.2354368932038835
relocate2	cov30x_rep1	30	1	somatic_insertion	0.1	0.05	100	48	0.48	35	0.7291666666666666	44	0	0.11650485436893204
relocate2	cov30x_rep1	30	1	somatic_insertion	0.2	0.1	100	82	0.82	33	0.4024390243902439	81	0	0.19902912621359223
relocate2	cov30x_rep1	30	1	somatic_insertion	0.4	0.2	100	90	0.9	8	0.08888888888888889	89	0	0.21844660194174756
relocate2	cov30x_rep2	30	2	heterozygous	1.0	0.5	100	95	0.95	78	0.8210526315789474	95	0	0.23399014778325122
relocate2	cov30x_rep2	30	2	homozygous	1.0	1.0	100	97	0.97	95	0.979381443298969	97	0	0.23891625615763548
relocate2	cov30x_rep2	30	2	somatic_insertion	0.1	0.05	100	44	0.44	34	0.7727272727272727	43	0	0.10837438423645321
relocate2	cov30x_rep2	30	2	somatic_insertion	0.2	0.1	100	78	0.78	35	0.44871794871794873	77	0	0.1921182266009852
relocate2	cov30x_rep2	30	2	somatic_insertion	0.4	0.2	100	92	0.92	7	0.07608695652173914	90	0	0.22660098522167488
relocate2	cov30x_rep3	30	3	heterozygous	1.0	0.5	100	95	0.95	81	0.8526315789473684	95	0	0.23573200992555832
relocate2	cov30x_rep3	30	3	homozygous	1.0	1.0	100	97	0.97	94	0.9690721649484536	97	0	0.24069478908188585
relocate2	cov30x_rep3	30	3	somatic_insertion	0.1	0.05	100	48	0.48	40	0.8333333333333334	44	0	0.11910669975186104
relocate2	cov30x_rep3	30	3	somatic_insertion	0.2	0.1	100	71	0.71	30	0.4225352112676056	67	0	0.1761786600496278
relocate2	cov30x_rep3	30	3	somatic_insertion	0.4	0.2	100	92	0.92	4	0.043478260869565216	91	0	0.228287841191067
relocate3-bwa-bwa	cov5x_rep1	5	1	heterozygous	1.0	0.5	100	65	0.65	44	0.676923076923077	16	0	0.3282828282828283
relocate3-bwa-bwa	cov5x_rep1	5	1	homozygous	1.0	1.0	100	95	0.95	95	1.0	27	0	0.4797979797979798
relocate3-bwa-bwa	cov5x_rep1	5	1	somatic_insertion	0.1	0.05	100	2	0.02	0	0.0	0	0	0.010101010101010102
relocate3-bwa-bwa	cov5x_rep1	5	1	somatic_insertion	0.2	0.1	100	11	0.11	0	0.0	2	0	0.05555555555555555
relocate3-bwa-bwa	cov5x_rep1	5	1	somatic_insertion	0.4	0.2	100	25	0.25	0	0.0	10	0	0.12626262626262627
relocate3-bwa-bwa	cov5x_rep2	5	2	heterozygous	1.0	0.5	100	73	0.73	48	0.6575342465753424	17	0	0.3427230046948357
relocate3-bwa-bwa	cov5x_rep2	5	2	homozygous	1.0	1.0	100	91	0.91	91	1.0	25	0	0.4272300469483568
relocate3-bwa-bwa	cov5x_rep2	5	2	somatic_insertion	0.1	0.05	100	3	0.03	0	0.0	1	0	0.014084507042253521
relocate3-bwa-bwa	cov5x_rep2	5	2	somatic_insertion	0.2	0.1	100	16	0.16	0	0.0	3	0	0.07511737089201878
relocate3-bwa-bwa	cov5x_rep2	5	2	somatic_insertion	0.4	0.2	100	30	0.3	0	0.0	9	0	0.14084507042253522
relocate3-bwa-bwa	cov5x_rep3	5	3	heterozygous	1.0	0.5	100	76	0.76	61	0.8026315789473685	19	0	0.3486238532110092
