coverage	replicate	biological_class	cellular_fraction	relocate2_detection_recall	relocate2_status_accuracy_given_detected	relocate3-blat-bwa_detection_recall	relocate3-blat-bwa_status_accuracy_given_detected	relocate3-blat-bwaaln_detection_recall	relocate3-blat-bwaaln_status_accuracy_given_detected	relocate3-bowtie2-bwa_detection_recall	relocate3-bowtie2-bwa_status_accuracy_given_detected	relocate3-bwa-bwa_detection_recall	relocate3-bwa-bwa_status_accuracy_given_detected	relocate3-minimap2-minimap2_detection_recall	relocate3-minimap2-minimap2_status_accuracy_given_detected	relocate2_minus_relocate3-blat-bwa_recall	relocate2_minus_relocate3-blat-bwaaln_recall	relocate2_minus_relocate3-bowtie2-bwa_recall	relocate2_minus_relocate3-bwa-bwa_recall	relocate2_minus_relocate3-minimap2-minimap2_recall	relocate3-blat-bwa_minus_relocate3-blat-bwaaln_recall	relocate3-blat-bwa_minus_relocate3-bowtie2-bwa_recall	relocate3-blat-bwa_minus_relocate3-bwa-bwa_recall	relocate3-blat-bwa_minus_relocate3-minimap2-minimap2_recall	relocate3-blat-bwaaln_minus_relocate3-bowtie2-bwa_recall	relocate3-blat-bwaaln_minus_relocate3-bwa-bwa_recall	relocate3-blat-bwaaln_minus_relocate3-minimap2-minimap2_recall	relocate3-bowtie2-bwa_minus_relocate3-bwa-bwa_recall	relocate3-bowtie2-bwa_minus_relocate3-minimap2-minimap2_recall	relocate3-bwa-bwa_minus_relocate3-minimap2-minimap2_recall
5	1	heterozygous	1.0	0.69	0.7391304347826086	0.55	0.6909090909090909	0.6	0.7166666666666667	0.56	0.6785714285714286	0.56	0.6785714285714286	0.56	0.6785714285714286	0.14	0.09	0.13	0.13	0.13	-0.05	-0.01	-0.01	-0.01	0.04	0.04	0.04	0	0	0
5	1	homozygous	1.0	0.93	1.0	0.9	1.0	0.91	1.0	0.9	1.0	0.9	1.0	0.89	1.0	0.03	0.02	0.03	0.03	0.04	-0.01	0	0	0.01	0.01	0.01	0.02	0	0.01	0.01
5	1	somatic_insertion	0.1	0.03	0.0	0.02	0.0	0.03	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.01	0	0.01	0.01	0.01	-0.01	0	0	0	0.01	0.01	0.01	0	0	0
5	1	somatic_insertion	0.2	0.09	0.0	0.06	0.0	0.07	0.0	0.06	0.0	0.06	0.0	0.06	0.0	0.03	0.02	0.03	0.03	0.03	-0.01	0	0	0	0.01	0.01	0.01	0	0	0
5	1	somatic_insertion	0.4	0.28	0.0	0.23	0.0	0.23	0.0	0.23	0.0	0.22	0.0	0.21	0.0	0.05	0.05	0.05	0.06	0.07	0	0	0.01	0.02	0	0.01	0.02	0.01	0.02	0.01
5	2	heterozygous	1.0	0.68	0.7647058823529411	0.58	0.6724137931034483	0.65	0.676923076923077	0.58	0.6724137931034483	0.58	0.6724137931034483	0.57	0.6491228070175439	0.1	0.03	0.1	0.1	0.11	-0.07	0	0	0.01	0.07	0.07	0.08	0	0.01	0.01
5	2	homozygous	1.0	0.94	1.0	0.92	1.0	0.92	1.0	0.91	1.0	0.92	1.0	0.91	1.0	0.02	0.02	0.03	0.02	0.03	0	0.01	0	0.01	0.01	0	0.01	-0.01	0	0.01
5	2	somatic_insertion	0.1	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2	somatic_insertion	0.2	0.08	0.0	0.08	0.0	0.07	0.0	0.08	0.0	0.08	0.0	0.08	0.0	0	0.01	0	0	0	0.01	0	0	0	-0.01	-0.01	-0.01	0	0	0
5	2	somatic_insertion	0.4	0.26	0.0	0.17	0.0	0.2	0.0	0.17	0.0	0.17	0.0	0.17	0.0	0.09	0.06	0.09	0.09	0.09	-0.03	0	0	0	0.03	0.03	0.03	0	0	0
5	3	heterozygous	1.0	0.69	0.6666666666666666	0.6	0.8	0.62	0.7741935483870968	0.59	0.7966101694915254	0.59	0.7966101694915254	0.59	0.7796610169491526	0.09	0.07	0.1	0.1	0.1	-0.02	0.01	0.01	0.01	0.03	0.03	0.03	0	0	0
