caller	sample	coverage	replicate	total_calls	matched_calls	false_positive_calls	overall_precision	false_discovery_rate
relocate2	cov5x_rep1	5	1	202	202	0	1.0	0.0
relocate2	cov5x_rep2	5	2	198	198	0	1.0	0.0
relocate2	cov5x_rep3	5	3	210	210	0	1.0	0.0
relocate2	cov15x_rep1	15	1	328	327	1	0.9969512195121951	0.0030487804878048808
relocate2	cov15x_rep2	15	2	332	332	0	1.0	0.0
relocate2	cov15x_rep3	15	3	329	329	0	1.0	0.0
relocate2	cov30x_rep1	30	1	412	412	0	1.0	0.0
relocate2	cov30x_rep2	30	2	406	406	0	1.0	0.0
relocate2	cov30x_rep3	30	3	403	403	0	1.0	0.0
relocate3-bwa-bwa	cov5x_rep1	5	1	198	198	0	1.0	0.0
relocate3-bwa-bwa	cov5x_rep2	5	2	213	213	0	1.0	0.0
relocate3-bwa-bwa	cov5x_rep3	5	3	218	218	0	1.0	0.0
relocate3-bwa-bwa	cov15x_rep1	15	1	320	320	0	1.0	0.0
relocate3-bwa-bwa	cov15x_rep2	15	2	327	327	0	1.0	0.0
relocate3-bwa-bwa	cov15x_rep3	15	3	334	334	0	1.0	0.0
relocate3-bwa-bwa	cov30x_rep1	30	1	405	405	0	1.0	0.0
relocate3-bwa-bwa	cov30x_rep2	30	2	397	397	0	1.0	0.0
relocate3-bwa-bwa	cov30x_rep3	30	3	403	402	1	0.9975186104218362	0.002481389578163795
relocate3-minimap2-minimap2	cov5x_rep1	5	1	189	189	0	1.0	0.0
relocate3-minimap2-minimap2	cov5x_rep2	5	2	207	207	0	1.0	0.0
relocate3-minimap2-minimap2	cov5x_rep3	5	3	215	215	0	1.0	0.0
relocate3-minimap2-minimap2	cov15x_rep1	15	1	319	318	1	0.9968652037617555	0.0031347962382445305
relocate3-minimap2-minimap2	cov15x_rep2	15	2	324	324	0	1.0	0.0
relocate3-minimap2-minimap2	cov15x_rep3	15	3	324	324	0	1.0	0.0
relocate3-minimap2-minimap2	cov30x_rep1	30	1	398	398	0	1.0	0.0
relocate3-minimap2-minimap2	cov30x_rep2	30	2	394	394	0	1.0	0.0
relocate3-minimap2-minimap2	cov30x_rep3	30	3	400	398	2	0.995	0.0050000000000000044
