caller	sample	coverage	replicate	wall_seconds	max_rss_kb	user_seconds	system_seconds	percent_cpu
relocate2	cov15x_rep1	15	1	1711.83	6815556	12112.58	304.52	725%
relocate2	cov15x_rep2	15	2	1652.92	6822188	11838.51	301.59	734%
relocate2	cov15x_rep3	15	3	2279.72	6818648	16264.03	418.54	731%
relocate2	cov30x_rep1	30	1	5232	6940928	35712.13	1154.46	704%
relocate2	cov30x_rep2	30	2	4171	7080052	30078.34	733.74	738%
relocate2	cov30x_rep3	30	3	3881	6953160	28275.71	701.23	746%
relocate2	cov5x_rep1	5	1	869.5	5039700	5907.46	216.21	704%
relocate2	cov5x_rep2	5	2	856.86	5029112	5763.03	172.46	692%
relocate2	cov5x_rep3	5	3	562.16	5032448	3995.96	129.36	733%
relocate3	cov15x_rep1	15	1	2157.78	7046648	9144.77	133.29	429%
relocate3	cov15x_rep2	15	2	2402.94	7039188	10050.28	140.62	424%
relocate3	cov15x_rep3	15	3	1787.25	7047784	7443.42	94.56	421%
relocate3	cov30x_rep1	30	1	4222	7050436	17498.82	233.29	419%
relocate3	cov30x_rep2	30	2	3613	7047716	15529.15	215.81	435%
relocate3	cov30x_rep3	30	3	3568.91	7051756	15287.42	188.83	433%
relocate3	cov5x_rep1	5	1	763.96	5503112	3053.39	186.46	424%
relocate3	cov5x_rep2	5	2	750.93	5527664	3211.69	50.71	434%
relocate3	cov5x_rep3	5	3	498.63	5532960	2118.22	29.77	430%
